key,label,none,p_zwykla,p_wzmacniana,p_smakowa,p_damska,p_wzmacniana_lubrykant,p_zwykla_lubrykant,p_smakowa_lubrykant,p_damska_lubrykant,p_dowolna_wazelina,lubrykant,wazelina,chusteczka,dwie_gumki
czynn-przytul,"Przytulanie, głaskanie","Ten kontakt jest bezpieczny. Brak kontaktu błon śluzowych z płynami, które mogą przenosić HIV.",x,x,x,x,x,x,x,x,x,x,x,x,x
czynn-pocalunek,Pocałunek,Ten kontakt jest bezpieczny – ślina nie jest płynem zakaźnym. ,x,x,x,x,x,x,x,x,x,x,x,x,x
czynn-dlon,Dłoń,"Ten kontakt jest bezpieczny, jeśli nie ma uszkodzeń skóry na dłoniach (widocznych gołym okiem, niezagojonych ran). W takim wypadku warto zastosować rękawiczki lateksowe. Należy jednak uważać, aby po, lub w trakcie takiego kontaktu, nie przenieść płynów zakaźnych partnera/ki (np. spermy, preejakulatu, wydzieliny z pochwy) na własne błony śluzowe (np. na członku, w pochwie, oku). Dodatkowo, jeśli dojdzie do uszkodzenia błony śluzowej pochwy lub odbytu – wzrasta ryzyko zakażenia przy późniejszych kontaktach waginalnych czy analnych. ",x,x,x,x,x,x,x,x,x,x,"Technika ta wiąże się z ryzykiem zakażenia. Użycie ""nawilżacza"", który nie jest dedykowany do stosowania z błonami śluzowymi, może spowodować dodatkowe podrażnienie błon śluzowych pochwy lub w odbycie – a to zwiększy ryzyko zakażenia przy późniejszych kontaktach waginalnych czy analnych. ",x,x
czynn-oral-kobieta,Oralny - pieszcząca kobietę,"Technika ta wiąże się z ryzykiem zakażenia.
Podczas niej następuje kontakt płynu zakaźnego (wydzieliny z pochwy) z błoną śluzową jamy ustnej (powierzchnią przez którą wchłaniany jest wirus). 
Ryzyko wzrasta przy uszkodzeniach i podrażnieniach w obrębie jamy ustnej - uszkodzona błona śluzowa jest jeszcze bardziej chłonna.
Przy kontaktach oralnych ważne jest, aby chronić dodatkowo błony śluzowe pod powieką oraz w nosie przed kontaktem z płynami zakaźnymi.
",x,x,x,x,x,x,x,x,x,x,x,"Ten kontakt jest bezpieczny. Chusteczki i maski oralne stwarzają barierę pomiędzy błoną śluzową ust (oraz nosa), a wydzieliną z pochwy. Taką osłonkę można zrobić także z prezerwatywy - w tym celu należy ostrożnie odciąć jej czubek, a następnie przeciąć ją wzdłuż. ",x
czynn-oral-mezczyzna,Oralny - pieszcząca mężczyznę,"Jest to technika o wysokim ryzyku zakażenia. 
Podczas niej następuje kontakt płynu zakaźnego (spermy, preejakulatu) z błoną śluzową jamy ustnej (powierzchnią przez którą wchłaniany jest wirus). 
Bez względu na to, czy połknie się spermę, czy nie – ryzyko się nie zmienia, ponieważ do zakażenia dochodzi w obrębie jamy ustnej.
Ryzyko wzrasta przy uszkodzeniach i podrażnieniach w obrębie jamy ustnej  - uszkodzona błona śluzowa jest jeszcze bardziej chłonna.
Przy kontaktach oralnych ważne jest, aby chronić dodatkowo błony śluzowe pod powieką oraz w nosie przed kontaktem z płynami zakaźnymi.","Ten kontakt jest bezpieczny.
Podczas kontaktów oralnych należy unikać kontaktu błony śluzowej w jamie ustnej (powierzchni, przez którą wchłaniany jest wirus) ze spermą i preejakulatem (płynami mogącymi zawierac HIV). Skutecznie chroni przed tym prezerwatywa, jeśli jest prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana. Do stosunku oralnego dedykowane są prezerwatywy smakowe i zapachowe, ale można również użyć klasycznej lub wzmacnianej. 
","Ten kontakt jest bezpieczny.
Podczas kontaktów oralnych należy unikać kontaktu błony śluzowej w jamie ustnej (powierzchni, przez którą wchłaniany jest wirus) ze spermą i preejakulatem (płynami mogącymi zawierac HIV). Skutecznie chroni przed tym prezerwatywa, jeśli jest prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana. Do stosunku oralnego dedykowane są prezerwatywy smakowe i zapachowe, ale można również użyć klasycznej lub wzmacnianej. 
","Ten kontakt jest bezpieczny.
Podczas kontaktów oralnych należy unikać kontaktu błony śluzowej w jamie ustnej (powierzchni, przez którą wchłaniany jest wirus) ze spermą i preejakulatem (płynami mogącymi zawierac HIV). Skutecznie chroni przed tym prezerwatywa, jeśli jest prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana. Do stosunku oralnego dedykowane są prezerwatywy smakowe i zapachowe, ale można również użyć klasycznej lub wzmacnianej. 
",x,x,x,x,x,x,x,x,x,x
czynn-oral-bier-kobieta,Oralny - pieszczona kobieta,"Ten kontakt jest bezpieczny, o ile w obrębie jamy ustnej strony pieszczącej nie ma wyraźnego krwawienia - wtedy może dość do kontaktu błony śluzowej w pochwie (czyli powierzchni, przez którą wchłaniany jest wirus) z krwią (czyli płynem, który może zawierać HIV). ",x,x,x,x,x,x,x,x,,x,x,"Ten kontakt jest bezpieczny. Chusteczki i maski oralne stwarzają barierę pomiędzy błoną śluzową pochwy a krwią, która może się pojawić w wyniku uszkodzeń w obrębie jamy ustnej. Taką osłonkę można zrobić także z prezerwatywy - w tym celu należy ostrożnie odciąć jej czubek, a następnie przeciąć ją wzdłuż. ",x
czynn-oral-bier,Oralny pieszczony mężczyzna,"Ten kontakt jest bezpieczny, o ile w obrębie jamy ustnej strony pieszczącej nie ma wyraźnego krwawienia - wtedy może dość do kontaktu błony śluzowej na członku (czyli powierzchni, przez którą wchłaniany jest wirus) z krwią (czyli płynem, który może zawierać HIV). ","Ten kontakt jest bezpieczny.
Nawet jeśli w ustach osoby pieszczącej wystąpiłoby krwawienie, to użyta prezerwatywa chroni  błonę śluzową na członku przed kontaktem z krwią.","Ten kontakt jest bezpieczny.
Nawet jeśli w ustach osoby pieszczącej wystąpiłoby krwawienie, to użyta prezerwatywa chroni  błonę śluzową na członku przed kontaktem z krwią.","Ten kontakt jest bezpieczny.
Nawet jeśli w ustach osoby pieszczącej wystąpiłoby krwawienie, to użyta prezerwatywa chroni  błonę śluzową na członku przed kontaktem z krwią.",x,x,x,x,x,x,x,x,x,x
czynn-wagin-kobieta,Waginalny kobieta,"Jest to technika o wysokim ryzyku zakażenia, szczególnie dla kobiety. 
Błona śluzowa pochwy, czyli powierzchnia przez którą wchłaniany jest wirus, ma kontakt z preejakulatem i spermą  (czyli płynami, które mogą zawierać HIV). Ryzyko jest tym większe, że:
- jest to bardzo duża powierzchnia, a więc i duże pole przez które HIV może wniknąć do organizmu, 
- płyny zakaźne przez jakiś czas zostają w pochwie, co daje więcej czasu na wchłonięcie HIV.
Ryzyko wzrasta przy niewystarczającym nawilżeniu pochwy -  uszkodzona błona śluzowa jest jeszcze bardziej chłonna.
","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa w skuteczny sposób chroni przed zakażeniem HIV.
Prezerwatywa stanowi barierę miedzy preejakulatem i spermą a błoną śluzową pochwy.
W razie niewystarczającego nawilżenia pochwy warto zastosować żel nawilżający (lubrykant). Zmniejsza on ryzyko podrażnienia, uszkodzenia błon śluzowych oraz pęknięcia prezerwatywy, a w rezultacie zmniejsza ryzyko zakażenia HIV. Należy jednak pamiętać, aby były one odpowiednie do stosowania z prezerwatywą - na bazie wody lub silikonu. Te zawierające tłuszcz (wazelina, oliwki) uszkadzają lateks! ","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa w skuteczny sposób chroni przed zakażeniem HIV.
Prezerwatywa stanowi barierę miedzy preejakulatem i spermą a błoną śluzową pochwy.
W razie niewystarczającego nawilżenia pochwy warto zastosować żel nawilżający (lubrykant). Zmniejsza on ryzyko podrażnienia, uszkodzenia błon śluzowych oraz pęknięcia prezerwatywy, a w rezultacie zmniejsza ryzyko zakażenia HIV. Należy jednak pamiętać, aby były one odpowiednie do stosowania z prezerwatywą - na bazie wody lub silikonu. Te zawierające tłuszcz (wazelina, oliwki)  uszkadzają lateks! ","Jest to technika o wysokim ryzyku zakażenia. Prezerwatywy smakowe są cieńsze niż zwykłe  (są dedykowane do seksu oralnego!), więc podczas seksu waginalnego mogą przecierać się i pękać. Nawet użycie odpowiedniego lubrykantu może w tym przypadku nie wystarczyć… Dodatkowo smak czy zapach prezerwatywy to chemia, która może uczulać i podrażniać błonę śluzową pochwy.","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa, w tym także prezerwatywa damska (umieszczana w pochwie, tzw. femidom) w skuteczny sposób chroni przed zakażeniem HIV.
Tak samo jak prezerwatywa męska, stanowi ona barierę miedzy preejakulatem i spermą a błoną śluzową pochwy.","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa w skuteczny sposób chroni przed zakażeniem HIV.
Prezerwatywa stanowi barierę miedzy preejakulatem i spermą a błoną śluzową pochwy.
Dla dodatkowej ochrony, szczególnie w razie niewystarczającego nawilżenia pochwy, warto zastosować nawilżenie w postaci lubrykantów (żeli nawilżających). Zmniejszają one ryzyko podrażnienia, uszkodzenia błon śluzowych oraz pęknięcia prezerwatywy, a w rezultacie zmniejszają ryzyko zakażenia HIV. Należy jednak pamiętać, aby były one odpowiednie do stosowania z prezerwatywą - na bazie wody lub silikonu. Te zawierające tłuszcz (wazelina, oliwki)  uszkadzają lateks! ","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa w skuteczny sposób chroni przed zakażeniem HIV.
Prezerwatywa stanowi barierę miedzy preejakulatem i spermą a błoną śluzową pochwy.
Dla dodatkowej ochrony, szczególnie w razie niewystarczającego nawilżenia pochwy, warto zastosować nawilżenie w postaci lubrykantów (żeli nawilżających). Zmniejszają one ryzyko podrażnienia, uszkodzenia błon śluzowych oraz pęknięcia prezerwatywy, a w rezultacie zmniejszają ryzyko zakażenia HIV. Należy jednak pamiętać, aby były one odpowiednie do stosowania z prezerwatywą - na bazie wody lub silikonu. Te zawierające tłuszcz (wazelina, oliwki)  uszkadzają lateks! ","Technika ta wiąże się z ryzykiem zakażenia. Prezerwatywy smakowe są cieńsze niż zwykłe  (są dedykowane do seksu oralnego!), więc podczas seksu waginalnego mogą przecierać się i pękać. Nawet użycie odpowiedniego lubrykantu może w tym przypadku nie wystarczyć... Dodatkowo smak czy zapach prezerwatywy to chemia, która może uczulać i podrażniać błonę śluzową pochwy.","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa, w tym także prezerwatywa damska (umieszczana w pochwie, tzw. femidom) w skuteczny sposób chroni przed zakażeniem HIV.
Tak samo jak prezerwatywa męska, stanowi ona barierę miedzy preejakulatem i spermą a błoną śluzową pochwy. Użycie lubrykantu dodatkowo zwiększa ochronę.","Taki rodzaj stosunku jest bardzo ryzykowny pod kątem zakażenia wirusem HIV. Jakiejkolwiek prezerwatywy z lateksu byśmy nie użyli, to zastosowanie razem z nią wazeliny lub oliwki (substancji zawierającej tłuszcz), może spowodować jej pęknięcie - tłuszcz uszkadza lateks! ","Taki rodzaj stosunku jest bardzo ryzykowny pod kątem zakażenia HIV. Użycie samego lubrykantu - bez względu na jego skład, nie zabezpiecza przed zakażeniem HIV. Lubrykant posiada właściwości nawilżające, które zmniejszają ryzyko otarć i pęknięcia prezerwatywy, ale sam w sobie nie stanowi bariery przed HIV. ","Taki rodzaj stosunku jest bardzo ryzykowny pod kątem zakażenia wirusem HIV. Użycie wazeliny lub oliwki, w żaden sposób nie zabezpiecza przed zakażeniem HIV. Wręcz przeciwnie - użycie ""nawilżacza"", który nie jest dedykowany do stosowania z błonami śluzowymi, może spowodować dodatkowe podrażnienie pochwy lub członka, a tym samym zwiększyć ryzyko zakażenia HIV. ",x,"Taki rodzaj stosunku jest bardzo ryzykowny pod kątem zakażenia wirusem HIV. Co za dużo, to niezdrowo! Używając dwóch prezerwatyw jednocześnie nie zwiększamy swojego bezpieczeństwa, wręcz przeciwnie! Może to spowodować ich uszkodzenie lub zsunięcie się obydwu. "
czynn-wagin-mezczyzna,Waginalny mężczyzna,"Jest to technika o wysokim ryzyku zakażenia. 
Błona śluzowa ujścia cewki moczowej mężczyzny (czyli powierzchnia, przez którą wchłaniany jest wirus) ma kontakt z wydzieliną z pochwy  (czyli płynem, który może zawierać HIV). Ryzyko zakażenia dla mężczyzny dodatkowo wzrasta podczas stosunku w trakcie miesiączki oraz przy niewystarczającym nawilżeniu pochwy - czyli wtedy, kiedy ma kontakt z krwią (krew to najbardziej zakaźny płyn).","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa w skuteczny sposób chroni przed zakażeniem HIV.
Prezerwatywa stanowi barierę miedzy wydzieliną z pochwy a błoną śuzową na członku.
W razie niewystarczającego nawilżenia pochwy warto zastosować żel nawilżający (lubrykant). Zmniejsza on ryzyko podrażnienia, uszkodzenia błon śluzowych oraz pęknięcia prezerwatywy, a w rezultacie zmniejsza ryzyko zakażenia HIV.  Należy jednak pamiętać, aby były one odpowiednie do stosowania z prezerwatywą - na bazie wody lub silikonu. Te zawierające tłuszcz (wazelina, oliwki) uszkadzają lateks! ","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa w skuteczny sposób chroni przed zakażeniem HIV.
Prezerwatywa stanowi barierę miedzy wydzieloną z pochwy a błoną śuzową na członku.
W razie niewystarczającego nawilżenia pochwy warto zastosować żel nawilżający (lubrykant). Zmniejsza on ryzyko podrażnienia, uszkodzenia błon śluzowych oraz pęknięcia prezerwatywy, a w rezultacie zmniejsza ryzyko zakażenia HIV.  Należy jednak pamiętać, aby były one odpowiednie do stosowania z prezerwatywą - na bazie wody lub silikonu. Te zawierające tłuszcz (wazelina, oliwki)  uszkadzają lateks! ","Technika ta wiąże się z ryzykiem zakażenia. Prezerwatywy smakowe są cieńsze niż zwykłe  (są dedykowane do seksu oralnego!), więc podczas seksu waginalnego mogą przecierać się i pękać. Nawet użycie odpowiedniego lubrykantu może w tym przypadku nie wystarczyć…  Dodatkowo smak czy zapach prezerwatywy to chemia, która może uczulać i podrażniać błonę śluzową pochwy.","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa, w tym także prezerwatywa damska (umieszczana w pochwie, tzw. femidom) w skuteczny sposób chroni przed zakażeniem HIV.
Tak samo jak prezerwatywa męska, stanowi ona barierę miedzy wydzieliną z pochwy a błoną śluzową na członku. ","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa w skuteczny sposób chroni przed zakażeniem HIV.
Prezerwatywa stanowi barierę miedzy wydzieloną z pochwy a błoną śuzową na członku.
Dla dodatkowej ochrony, szczególnie w razie niewystarczającego nawilżenia pochwy, warto zastosować nawilżenie w postaci lubrykantów (żeli nawilżających). Zmniejszają one ryzyko podrażnienia, uszkodzenia błon śluzowych oraz pęknięcia prezerwatywy, a w rezultacie zmniejszają ryzyko zakażenia HIV. Należy jednak pamiętać, aby były one odpowiednie do stosowania z prezerwatywą - na bazie wody lub silikonu. Te zawierające tłuszcz (wazelina, oliwki)  uszkadzają lateks! ","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa w skuteczny sposób chroni przed zakażeniem HIV.
Prezerwatywa stanowi barierę miedzy wydzieloną z pochwy a błoną śuzową na członku.
Dla dodatkowej ochrony, szczególnie w razie niewystarczającego nawilżenia pochwy, warto zastosować nawilżenie w postaci lubrykantów (żeli nawilżających). Zmniejszają one ryzyko podrażnienia, uszkodzenia błon śluzowych oraz pęknięcia prezerwatywy, a w rezultacie zmniejszają ryzyko zakażenia HIV. Należy jednak pamiętać, aby były one odpowiednie do stosowania z prezerwatywą - na bazie wody lub silikonu. Te zawierające tłuszcz (wazelina, oliwki)  uszkadzają lateks! ","Technika ta wiąże się z ryzykiem zakażenia. Prezerwatywy smakowe są cieńsze niż zwykłe  (są dedykowane do seksu oralnego!), więc podczas seksu waginalnego mogą przecierać się i pękać. Nawet użycie  odpowiedniego lubrykantu może w tym przypadku nie wystarczyć... Dodatkowo smak czy zapach prezerwatywy to chemia, która może uczulać i podrażniać błonę śluzową pochwy.","Ten kontakt jest bezpieczny.
Prawidłowo stosowana, nieprzeterminowana i dobrze przechowywana prezerwatywa, w tym także prezerwatywa damska (umieszczana w pochwie, tzw. femidom) w skuteczny sposób chroni przed zakażeniem HIV.
Tak samo jak prezerwatywa męska, stanowi ona barierę miedzy wydzieliną z pochwy a błoną śluzową na członku. Użycie lubrykantu dodatkowo zwiększa ochronę.","Jest to technika o wysokim ryzyku zakażenia.  Jakiejkolwiek prezerwatywy z lateksu byśmy nie użyli, to zastosowanie razem z nią wazeliny lub oliwki (substancji zawierającej tłuszcz), może spowodować jej pęknięcie - tłuszcz uszkadza lateks! ","Jest to technika o wysokim ryzyku zakażenia. Użycie samego lubrykantu - bez względu na jego skład, nie zabezpiecza przed zakażeniem HIV. Lubrykant posiada właściwości nawilżające, które zmniejszają ryzyko otarć i pęknięcia prezerwatywy, ale sam w sobie nie stanowi bariery przed HIV. ","Jest to technika o wysokim ryzyku zakażenia. Użycie wazeliny lub oliwki, w żaden sposób nie zabezpiecza przed zakażeniem HIV. Wręcz przeciwnie - użycie ""nawilżacza"", który nie jest dedykowany do stosowania z błonami śluzowymi, może spowodować dodatkowe podrażnienie pochwy lub członka, a tym samym zwiększyć ryzyko zakażenia HIV.  ",x,"Jest to technika o wysokim ryzyku zakażenia. Co za dużo, to niezdrowo! Używając dwóch prezerwatyw jednocześnie nie zwiększamy swojego bezpieczeństwa, wręcz przeciwnie! Może to spowodować ich uszkodzenie lub zsunięcie się obydwu. "
czynn-anal-czynn,Analny czynny,"Jest to technika o wysokim ryzyku zakażenia. 
Błona śluzowa ujścia cewki moczowej na penisie (czyli powierzchnia, przez którą wchłaniany jest wirus) ma kontakt z wydzieliną z odbytu.
Odbyt nie jest naturalnie przystosowany do penetracji, dlatego jest bardzo podatny na uszkodzenia, co może spowodować dodatkowo pojawienie się krwi, która jest najbardzej zakażnym płynem (kontakt z krwią jest najbardziej ryzykowny). 
","Technika ta wiąże się z ryzykiem zakażenia. Zaleca się, aby do stosunków analnych używać prezerwatyw wzmacnianych (extra safe). Zwykła prezerwatywa jest cieńsza, więc istnieje większe prawdopodobieństwo, że podczas stosunku analnego pęknie. Ryzyko pęknięcia jest tym większe, że  odbyt, w przeciwieństwie do pochwy, nie nawilża się samoistnie, a więc podczas takiego stosunku jest bardzo duże tarcie, co sprzyja przecieraniu się i uszkodzeniu prezerwatywy.  Dlatego bezpieczniej jest użyć prezerwatywy wznacnianej i dodatkowego nawilżenia, czyli lubrykantu (tylko na bazie wody lub silikonu!)","
Użycie prezerwatywy wzmacnianej (extra safe) podczas stosunku analnego jest jak najbardziej poprawne. Ale bez odpowiedniego nawilżenia (lubrykantu) istnieje większe prawdopodobieństwo, że prezerwatywa pęknie - odbyt, w przeciwieństwie do pochwy, nie nawilża się samoistnie, a więc podczas takiego stosunku jest bardzo duże tarcie, co sprzyja przecieraniu się i uszkodzeniu prezerwatywy. Dlatego warto sięgonąć po dodatkowe nawilżenie, czyli lubrykant (tylko na bazie wody lub silikonu!) ","Jest to technika o wysokim ryzyku zakażenia. 
Prezerwatywy smakowe są  jeszcze cieńsze niż zwykłe  (są dedykowane do seksu oralnego!), więc istnieje większe prawdopodobieństwo, że taka prezerwatywa pęknie. Nawet użycie odpowiedniego lubrykantu może w tym przypadku nie wystarczyć…",Technika ta wiąże się z ryzykiem zakażenia.  Użycie  prezerwatywy damskiej podczas stosunku analnego jest jak najbardziej poprawne. Ale bez odpowiedniego nawilżenia (lubrykantu) może ona spowodować uszkodzenia odbytu lub ulec przetarciu albo pęknąć.,"Ten kontakt jest bezpieczny.
Do seksu analnego zaleca się stosowanie prezerwatyw wzmacnianych (extra safe) – są one grubsze, a tym samym bardziej wytrzymałe. Aby stosunek analny był prawidłowo zabezpieczony, należy zastosować nawilżenie w postaci lubrykantów (żeli nawilżających). Zmniejszają one ryzyko podrażnienia, uszkodzenia błon śluzowych oraz pęknięcia prezerwatywy, a w rezultacie zmniejszają ryzyko zakażenia HIV. Należy jednak pamiętać, aby były one przeznaczone do stosowania z prezerwatywą - na bazie wody lub silikonu. Te zawierające tłuszcz (wazelina, oliwki)  uszkadzają lateks! ","Technika ta wiąże się z ryzykiem zakażenia. Zaleca się, aby do stosunków analnych używać prezerwatyw wzmacnianych (extra safe). Zwykła prezerwatywa jest cieńsza, więc istnieje większe prawdopodobieństwo, że podczas stosunku analnego pęknie. Użycie odpowiedniego lubrykantu może w tym przypadku nie wystarczyć...","Jest to technika o wysokim ryzyku zakażenia. 
Prezerwatywy smakowe są jeszcze cieńsze niż zwykłe (są dedykowane do seksu oralnego!), więc istnieje większe prawdopodobieństwo, że taka prezerwatywa pęknie. Nawet użycie odpowiedniego lubrykantu może w tym przypadku nie wystarczyć...","Ten kontakt jest bezpieczny. Podczas stosunku analnego można użyć prezerwatywy damskiej (Femidom). Są one produkowane z poliuretanu, który jest bardziej wytrzymały niż lateks. Podobnie jak w przypadku męskiej prezerwatywy, aby ochrona była skuteczna, zaleca się użycie odpowiedniego nawilżenia (lubrykantu). ","Jest to technika o wysokim ryzyku zakażenia. Jakiejkolwiek prezerwatywy z lateksu byśmy nie użyli, to zastosowanie razem z nią wazeliny lub oliwki (substancji zawierającej tłuszcz), może spowodować jej pęknięcie - tłuszcz uszkadza lateks! ","Jest to technika o wysokim ryzyku zakażenia. Użycie samego lubrykantu - bez względu na jego skład, nie zabezpiecza przed zakażeniem HIV. Lubrykant posiada właściwości nawilżające, które zmniejszają ryzyko otarć i pęknięcia prezerwatywy, ale sam w sobie nie stanowi bariery przed HIV. 
","Jest to technika o wysokim ryzyku zakażenia. Użycie wazeliny lub oliwki, w żaden sposób nie zabezpiecza przed zakażeniem HIV. Wręcz przeciwnie - użycie ""nawilżacza"", który nie jest dedykowany do stosowania z błonami śluzowymi, może spowodować dodatkowe podrażnienie odbytu lub członka, a tym samym zwiększyć ryzyko zakażenia HIV. ",x,"Jest to technika o wysokim ryzyku zakażenia. Co za dużo, to niezdrowo! Używając dwóch prezerwatyw jednocześnie nie zwiększamy swojego bezpieczeństwa, wręcz przeciwnie! Może to spowodować ich uszkodzenie lub zsunięcie się obydwu. "
